#t (days)	r (km)
1		357854.41
2.8291457	358406.02
4.6582915	363805.51
6.4874372	373592.96
8.3165829	384178.98
10.145729	393594.13
11.974874	400492.25
13.80402	403036.04
15.633166	405536.31
17.462312	404517.84
19.291457	402043.58
21.120603	397915.12
22.949749	390260.93
24.778894	380228.55
26.60804	369658.66
28.437186	364102.28
30.266332	358545.89
32.095477	361746.7 
33.924623	368611.91
35.753769	379504.38
37.582915	390672.11
39.41206	399115.57
41.241206	404069.82
43.070352	405508.62
44.899497	404123.89
46.728643	401600.6 
48.557789	397023.2 
50.386935	390790.87
52.21608	383083.69
54.045226	374750.01
55.874372	367987.79
57.703518	363808.38
59.532663	362283.51
61.361809	366798	 
63.190955	375673.54
65.020101	386679.73
66.849246	396087.46
68.678392	401624.55
70.507538	403799.35
72.336683	402906.95
74.165829	399116.75
75.994975	394439.11
77.824121	388393.91
79.653266	382278.29
81.482412	376415.5 
83.311558	371901.61
85.140704	368507.05
86.969849	366460.19
88.798995	368887.89
90.628141	375531.57
92.457286	384778.86
94.286432	393789.45
96.115578	399192.15
97.944724	401981.29
99.773869	402268.14
101.60302	397521.46
103.43216	392015.78
105.26131	384543.09
107.09045	378581.02
108.9196	374620.19
110.74874	372058.46
112.57789	370764.6 
114.40704	372177.42
116.23618	373590.25
118.06533	378644.06
119.89447	385801.78
121.72362	393485.79
123.55276	398798.83
125.38191	402262.3 
127.21106	402583.93
129.0402	398455.7 
130.86935	391305.95
132.69849	382464.29
134.52764	375014.34
136.35678	370751.81
138.18593	369606.82
140.01508	368910.17
141.84422	372484.3 
143.67337	377019.37
145.50251	382645.46
147.33166	388980.19
149.1608	395224.64
150.98995	399362.73
152.8191	402587.02
154.64824	403000.4 
156.47739	398660.5 
158.30653	392842.1 
160.13568	382892.13
161.96482	372976.11
163.79397	368777.33
165.62312	366984.61
167.45226	365191.89
169.28141	370112.96
171.11055	377278.29
172.9397	384836.26
174.76884	391776.61
176.59799	397593.81
178.42714	401685.78
180.25628	403711.57
182.08543	404594.51
183.91457	400783.46
185.74372	395514.21
187.57286	385825.28
189.40201	374626.23
191.23116	364908.52
193.0603	360672.11
194.88945	361855.33
196.71859	367096.83
198.54774	374371.29
200.37688	384058.36
202.20603	392687.21
204.03518	399284.03
205.86432	403260.48
207.69347	404962.35
209.52261	405504.23
211.35176	402647.86
213.1809	397847.81
215.01005	389410.28
216.8392	378683.75
218.66834	368165.33
220.49749	362650.67
222.32663	357936.24
224.15578	361944.31
225.98492	369813.82
227.81407	380579.86
229.64322	391143.19
231.47236	398921.75
233.30151	403375.01
235.13065	405021.95
236.9598	404989.59
238.78894	401855.66
240.61809	398258.34
242.44724	391366.81
244.27638	382663.88
246.10553	372924.7 
247.93467	366582.72
249.76382	361355.54
251.59296	361621.55
253.42211	366522.54
255.25126	376672.79
257.0804	387752.49
258.90955	397032.7 
260.73869	401455.86
262.56784	405334.87
264.39698	404179.44
266.22613	401373.03
268.05528	396644.06
269.88442	390618.52
271.71357	383720.6 
273.54271	376332.54
275.37186	369691.38
277.20101	365731.36
279.03015	364044.72
280.8593	368785.89
282.68844	374359.2 
284.51759	384492.69
286.34673	394267.51
288.17588	400656.92
290.00503	403872.21
291.83417	400902	 
293.66332	397931.79
295.49246	393858.56
297.32161	387397.37
299.15075	381527.07
300.9799	376345.45
302.80905	372239.54
304.63819	370407.33
306.46734	368603.04
308.29648	371786.16
310.12563	375705.66
311.95477	383764.02
313.78392	392555.47
315.61307	398338.22
317.44221	402217.23
319.27136	402460.04
321.1005	399041.05
322.92965	391949.58
324.75879	383957.89
326.58794	377142.39
328.41709	373530.51
330.24623	371604.12
332.07538	371141.87
333.90452	373100.84
335.73367	375059.81
337.56281	379696.75
339.39196	385975.26
341.22111	393027.46
343.05025	399125.6 
344.8794	401598.12
346.70854	403879.62
348.53769	398931.78
350.36683	392785.98
352.19598	383107.82
354.02513	373868	 
355.85427	370185.58
357.68342	368328.14
359.51256	366891.86
361.34171	371723.87
363.17085	377271.9 
365		382233.64
